label,pix1,pix2
0,['116' '118' '116' '116' '114' '116' '115' '116' '114' '116'],['124' '121' '122' '124' '123' '123' '122' '123' '123' '123']
0,['118' '116' '116' '114' '116' '115' '116' '114' '116' '117'],['121' '122' '124' '123' '123' '122' '123' '123' '123' '122']
0,['116' '116' '114' '116' '115' '116' '114' '116' '117' '114'],['122' '124' '123' '123' '122' '123' '123' '123' '122' '123']
0,['116' '114' '116' '115' '116' '114' '116' '117' '114' '117'],['124' '123' '123' '122' '123' '123' '123' '122' '123' '121']
0,['114' '116' '115' '116' '114' '116' '117' '114' '117' '114'],['123' '123' '122' '123' '123' '123' '122' '123' '121' '121']
0,['116' '115' '116' '114' '116' '117' '114' '117' '114' '116'],['123' '122' '123' '123' '123' '122' '123' '121' '121' '121']
0,['115' '116' '114' '116' '117' '114' '117' '114' '116' '116'],['122' '123' '123' '123' '122' '123' '121' '121' '121' '122']
0,['116' '114' '116' '117' '114' '117' '114' '116' '116' '116'],['123' '123' '123' '122' '123' '121' '121' '121' '122' '123']
0,['114' '116' '117' '114' '117' '114' '116' '116' '116' '116'],['123' '123' '122' '123' '121' '121' '121' '122' '123' '122']
0,['116' '117' '114' '117' '114' '116' '116' '116' '116' '116'],['123' '122' '123' '121' '121' '121' '122' '123' '122' '122']
0,['117' '114' '117' '114' '116' '116' '116' '116' '116' '115'],['122' '123' '121' '121' '121' '122' '123' '122' '122' '123']
0,['114' '117' '114' '116' '116' '116' '116' '116' '115' '117'],['123' '121' '121' '121' '122' '123' '122' '122' '123' '122']
0,['117' '114' '116' '116' '116' '116' '116' '115' '117' '117'],['121' '121' '121' '122' '123' '122' '122' '123' '122' '122']
0,['114' '116' '116' '116' '116' '116' '115' '117' '117' '115'],['121' '121' '122' '123' '122' '122' '123' '122' '122' '123']
0,['116' '116' '116' '116' '116' '115' '117' '117' '115' '115'],['121' '122' '123' '122' '122' '123' '122' '122' '123' '122']
0,['116' '116' '116' '116' '115' '117' '117' '115' '115' '116'],['122' '123' '122' '122' '123' '122' '122' '123' '122' '123']
0,['116' '116' '116' '115' '117' '117' '115' '115' '116' '116'],['123' '122' '122' '123' '122' '122' '123' '122' '123' '124']
0,['116' '116' '115' '117' '117' '115' '115' '116' '116' '117'],['122' '122' '123' '122' '122' '123' '122' '123' '124' '123']
0,['116' '115' '117' '117' '115' '115' '116' '116' '117' '115'],['122' '123' '122' '122' '123' '122' '123' '124' '123' '124']
0,['115' '117' '117' '115' '115' '116' '116' '117' '115' '115'],['123' '122' '122' '123' '122' '123' '124' '123' '124' '122']
0,['117' '117' '115' '115' '116' '116' '117' '115' '115' '116'],['122' '122' '123' '122' '123' '124' '123' '124' '122' '123']
0,['117' '115' '115' '116' '116' '117' '115' '115' '116' '117'],['122' '123' '122' '123' '124' '123' '124' '122' '123' '124']
0,['115' '115' '116' '116' '117' '115' '115' '116' '117' '117'],['123' '122' '123' '124' '123' '124' '122' '123' '124' '123']
0,['115' '116' '116' '117' '115' '115' '116' '117' '117' '116'],['122' '123' '124' '123' '124' '122' '123' '124' '123' '123']
0,['116' '116' '117' '115' '115' '116' '117' '117' '116' '114'],['123' '124' '123' '124' '122' '123' '124' '123' '123' '123']
0,['116' '117' '115' '115' '116' '117' '117' '116' '114' '115'],['124' '123' '124' '122' '123' '124' '123' '123' '123' '124']
0,['117' '115' '115' '116' '117' '117' '116' '114' '115' '117'],['123' '124' '122' '123' '124' '123' '123' '123' '124' '121']
0,['115' '115' '116' '117' '117' '116' '114' '115' '117' '114'],['124' '122' '123' '124' '123' '123' '123' '124' '121' '123']
0,['115' '116' '117' '117' '116' '114' '115' '117' '114' '117'],['122' '123' '124' '123' '123' '123' '124' '121' '123' '122']
0,['116' '117' '117' '116' '114' '115' '117' '114' '117' '115'],['123' '124' '123' '123' '123' '124' '121' '123' '122' '125']
0,['117' '117' '116' '114' '115' '117' '114' '117' '115' '115'],['124' '123' '123' '123' '124' '121' '123' '122' '125' '123']
0,['117' '116' '114' '115' '117' '114' '117' '115' '115' '117'],['123' '123' '123' '124' '121' '123' '122' '125' '123' '124']
0,['116' '114' '115' '117' '114' '117' '115' '115' '117' '115'],['123' '123' '124' '121' '123' '122' '125' '123' '124' '123']
0,['114' '115' '117' '114' '117' '115' '115' '117' '115' '116'],['123' '124' '121' '123' '122' '125' '123' '124' '123' '123']
0,['115' '117' '114' '117' '115' '115' '117' '115' '116' '116'],['124' '121' '123' '122' '125' '123' '124' '123' '123' '123']
0,['117' '114' '117' '115' '115' '117' '115' '116' '116' '117'],['121' '123' '122' '125' '123' '124' '123' '123' '123' '121']
0,['114' '117' '115' '115' '117' '115' '116' '116' '117' '117'],['123' '122' '125' '123' '124' '123' '123' '123' '121' '122']
0,['117' '115' '115' '117' '115' '116' '116' '117' '117' '117'],['122' '125' '123' '124' '123' '123' '123' '121' '122' '124']
0,['115' '115' '117' '115' '116' '116' '117' '117' '117' '116'],['125' '123' '124' '123' '123' '123' '121' '122' '124' '122']
0,['115' '117' '115' '116' '116' '117' '117' '117' '116' '117'],['123' '124' '123' '123' '123' '121' '122' '124' '122' '122']
0,['117' '115' '116' '116' '117' '117' '117' '116' '117' '116'],['124' '123' '123' '123' '121' '122' '124' '122' '122' '124']
0,['115' '116' '116' '117' '117' '117' '116' '117' '116' '117'],['123' '123' '123' '121' '122' '124' '122' '122' '124' '121']
